species_key,canonical_botanical_name,display_common_name,wikipedia_url
prunus_avium,Prunus avium,Sweet Cherry,https://en.wikipedia.org/wiki/Prunus_avium
prunus_domestica,Prunus domestica,Plum,https://en.wikipedia.org/wiki/Prunus_domestica
pyrus_calleryana_chanticleer,Pyrus calleryana 'Chanticleer',Chanticleer Callery Pear,https://en.wikipedia.org/wiki/Pyrus_calleryana
quercus,Quercus sp.,Oak,https://en.wikipedia.org/wiki/Oak
quercus_alba,Quercus alba,White Oak,https://en.wikipedia.org/wiki/Quercus_alba
quercus_bicolor,Quercus bicolor,Swamp White Oak,https://en.wikipedia.org/wiki/Quercus_bicolor
quercus_macrocarpa,Quercus macrocarpa,Bur Oak,https://en.wikipedia.org/wiki/Quercus_macrocarpa
quercus_palustris,Quercus palustris,Pin Oak,https://en.wikipedia.org/wiki/Quercus_palustris
quercus_cerris,Quercus cerris,Turkey Oak,https://en.wikipedia.org/wiki/Quercus_cerris
quercus_petraea,Quercus petraea,Sessile Oak,https://en.wikipedia.org/wiki/Quercus_petraea
quercus_robur,Quercus robur,English Oak,https://en.wikipedia.org/wiki/Quercus_robur
quercus_robur_fastigiata,Quercus robur 'Fastigiata',Pyramidal English Oak,https://en.wikipedia.org/wiki/Quercus_robur
quercus_rubra,Quercus rubra,Red Oak,https://en.wikipedia.org/wiki/Quercus_rubra
robinia,Robinia sp.,Locust,https://en.wikipedia.org/wiki/Robinia
robinia_pseudoacacia,Robinia pseudoacacia,Black Locust,https://en.wikipedia.org/wiki/Robinia_pseudoacacia
salix,Salix sp.,Willow,https://en.wikipedia.org/wiki/Willow
sequoiadendron_giganteum,Sequoiadendron giganteum,Giant Sequoia,https://en.wikipedia.org/wiki/Sequoiadendron_giganteum
sophora_japonica,Sophora japonica,Japanese Pagoda Tree,https://en.wikipedia.org/wiki/Styphnolobium_japonicum
syringa_reticulata,Syringa reticulata,Japanese Tree Lilac,https://en.wikipedia.org/wiki/Syringa_reticulata
taxodium,Taxodium sp.,Bald Cypress,https://en.wikipedia.org/wiki/Taxodium
taxus,Taxus sp.,Yew,https://en.wikipedia.org/wiki/Taxus
taxus_baccata,Taxus baccata,English Yew,https://en.wikipedia.org/wiki/Taxus_baccata
thuja_occidentalis,Thuja occidentalis,Eastern White Cedar,https://en.wikipedia.org/wiki/Thuja_occidentalis
tilia,Tilia sp.,Linden,https://en.wikipedia.org/wiki/Tilia
tilia_americana,Tilia americana,American Basswood,https://en.wikipedia.org/wiki/Tilia_americana
tilia_americana_redmond,Tilia americana 'Redmond',Redmond Basswood,https://en.wikipedia.org/wiki/Tilia_americana
tilia_cordata,Tilia cordata,Littleleaf Linden,https://en.wikipedia.org/wiki/Tilia_cordata
tilia_cordata_greenspire,Tilia cordata 'Greenspire',Greenspire Littleleaf Linden,https://en.wikipedia.org/wiki/Tilia_cordata
tilia_x_europaea,Tilia x europaea,Common Linden,https://en.wikipedia.org/wiki/Tilia_%C3%97_europaea
tilia_platyphyllos,Tilia platyphyllos,Large-leaved Linden,https://en.wikipedia.org/wiki/Tilia_platyphyllos
ulmus,Ulmus sp.,Elm,https://en.wikipedia.org/wiki/Elm
ulmus_americana,Ulmus americana,American Elm,https://en.wikipedia.org/wiki/Ulmus_americana
ulmus_pumila,Ulmus pumila,Siberian Elm,https://en.wikipedia.org/wiki/Ulmus_pumila
